title,decision,total_score,q1_score,q2_score,q3_score,q4_score,q5_score,exclusion_reason,doi,source_database,created_at
Small recreational and tourist vessels in inshore coastal areas: a characterization of types of impacts.,DOUBT,7,2,2,1,1,1,Potential relevance; needs human review. (AI Note: This is a review of recreational boat impacts rather than a novel empirical study.),10.1079/9780851997322.0101,OpenAlex,2026-03-02 22:50:13.747267+00
Pearl Harbor Naval Base's Donut‐Free Bilge and Oily Wastewater Disposal Program,DOUBT,7,1,1,2,2,1,"Potential relevance; needs human review. (AI Note: The study describes the implementation of a wastewater treatment program at Pearl Harbor Naval Base, detailing the process and cost savings achieved.)",10.1111/j.1559-3584.1995.tb03124.x,OpenAlex,2026-03-02 22:49:45.466955+00
Trade Exports Predict Regional Ballast Water Discharge by Ships in San Francisco Bay,DOUBT,7,2,1,2,0,2,Potential relevance; needs human review. (AI Note: The study focuses on ballast water discharge from ships and its relationship to trade in San Francisco Bay.),10.3389/fmars.2021.638955,OpenAlex,2026-03-02 22:51:58.308567+00
Modeling of discharges from Baltic Sea shipping,DOUBT,7,1,1,2,1,2,"Potential relevance; needs human review. (AI Note: Study contains explicit modeling of discharge volumes from shipping including bilge, ballast, and antifouling paints.)",10.5281/zenodo.4063643,OpenAlex,2026-03-02 22:49:59.463935+00
Evaluating the combined effects of ballast water management and trade dynamics on transfers of marine organisms by ships,DOUBT,7,2,1,2,0,2,Potential relevance; needs human review. (AI Note: This paper analyzes ballast water management and its effect on zooplankton concentrations in Chesapeake Bay.),10.1371/journal.pone.0172468,OpenAlex,2026-03-02 22:51:57.161347+00
<i>In Situ</i> Characterization of Oil-in-Water Emulsions Stabilized by Surfactant and Salt Using Microsensors,DOUBT,7,0,1,2,2,2,Potential relevance; needs human review. (AI Note: The study focuses on oil-in-water emulsions in simulated bilge water using microsensors.),10.1021/acs.langmuir.7b01558,OpenAlex,2026-03-02 22:51:16.425463+00
Demographic trends of Brown Pelicans in Louisiana before and after the Deepwater Horizon oil spill,DOUBT,7,2,0,2,1,2,Potential relevance; needs human review. (AI Note: This study focuses on the demographic trends of Brown Pelicans in Louisiana before and after the Deepwater Horizon oil spill.),10.1111/jofo.12081,OpenAlex,2026-03-02 22:51:51.356358+00
"Recreational boating traffic: A chronic source of anthropogenic noise in the Wilmington, North Carolina Intracoastal Waterway",DOUBT,7,2,2,1,0,2,Potential relevance; needs human review. (AI Note: The study focuses on recreational boat noise impact on dolphins within an intracoastal waterway.),10.1121/1.2717766,OpenAlex,2026-03-02 22:47:07.168826+00
"Phytoplankton Response to Changes in Water Quality and a Flood Event in Hervey Bay, Queensland",DOUBT,7,2,1,2,0,2,"Potential relevance; needs human review. (AI Note: This paper presents an original empirical study of phytoplankton response to water quality changes and a flood event in a coastal bay, using quantitative measurements but without oil as a pollutant.)",10.52042/unetjoss010201,OpenAlex,2026-03-02 22:52:09.916907+00
"Molecular geochemical indicators of sewage input in the Antarctic coastal area (Admiralty Bay, King George Island, Antarctica)",DOUBT,7,2,0,2,1,2,"Potential relevance; needs human review. (AI Note: This paper analyzes sewage input in the Antarctic coastal area using molecular geochemical indicators, thus fitting the inclusion criteria.)",10.4322/apa.2014.010,OpenAlex,2026-03-02 22:51:47.677921+00
A Preliminary Study on the Intense Pelagic and Benthic Mucilage Phenomenon Observed in the Sea of Marmara,DOUBT,7,2,1,2,0,2,"Potential relevance; needs human review. (AI Note: The study focuses on a mucilage bloom and phytoplankton composition in the Sea of Marmara, with ship ballast water mentioned as a possible cause.)",10.30897/ijegeo.954787,OpenAlex,2026-03-02 22:49:38.228517+00
Monitoring the Pollution of Rudnaya Bay (Sea of Japan) Based on the Heavy Metal Content of Brown Algae,DOUBT,7,2,1,2,0,2,"Potential relevance; needs human review. (AI Note: Heavy metals are the focus, not oil or related compounds.)",10.1134/s1063074019020044,OpenAlex,2026-03-02 22:50:17.887057+00
The impact of common herbicides in Tagus estuary ecosystem may be higher than expected,DOUBT,7,2,0,2,1,2,Potential relevance; needs human review. (AI Note: This study investigates the effect of common herbicides on Artemia in the Tagus estuary ecosystem.),10.1080/07853890.2018.1561710,OpenAlex,2026-03-02 22:52:15.504517+00
Testing a Conceptual Framework of Responsible Environmental Behavior,DOUBT,7,2,2,1,1,1,"Potential relevance; needs human review. (AI Note: Survey study of recreational boaters' sewage discharge behavior in the Chesapeake Bay region, using statistical analysis to identify predictors of responsible environmental behavior.)",10.1080/00958969709599103,OpenAlex,2026-03-02 22:47:07.683782+00
Commisioning Oily Water Separator System Pada Kapal Bangunan Baru,DOUBT,7,1,2,1,2,1,Potential relevance; needs human review. (AI Note: This paper discusses oily water separators on ships and mentions MARPOL regulations but is mainly a literature review and not a quantitative field study.),10.32497/jrm.v15i3.1947,OpenAlex,2026-03-02 22:47:15.356739+00
Biological Bilge Water Treatment System,DOUBT,7,1,2,1,2,1,"Potential relevance; needs human review. (AI Note: This study focuses on a biological treatment system for bilge water on vessels, evaluating its performance against discharge regulations.)",10.1111/j.1559-3584.2006.tb00462.x,OpenAlex,2026-03-02 22:49:40.034106+00
Statistical Modeling of Bilge Water Discharge from Ships During Normal Operation,DOUBT,7,1,2,1,1,2,Potential relevance; needs human review. (AI Note: This paper presents an original statistical model for estimating bilge water discharge from ships.),10.3390/jmse8050320,OpenAlex,2026-03-02 22:47:02.362047+00
The characteristics of current patterns in the waters of port of Tanjung Emas Semarang,DOUBT,7,2,1,2,0,2,Potential relevance; needs human review. (AI Note: This research paper studies the current patterns and ballast water discharge at the port of Tanjung Emas Semarang using ADCP measurements.),10.14419/ijet.v9i2.30466,OpenAlex,2026-03-02 22:52:13.660473+00
"Wastewater dispersion measurements in the Fraser River estuary, Canada, for the Annacis Island Wastewater treatment plant outfall",DOUBT,7,2,0,2,1,2,"Potential relevance; needs human review. (AI Note: This study focuses on wastewater dispersion in a river estuary using dye tracing and detailed measurements, making it relevant for inclusion.)",10.2166/wst.1998.0414,OpenAlex,2026-03-02 22:52:06.364341+00
"Lead geochemistry of sediments in Galveston Bay, Texas",DOUBT,7,2,1,2,0,2,Potential relevance; needs human review. (AI Note: This paper focuses on lead concentrations in Galveston Bay sediments from anthropogenic sources.),10.1016/j.envadv.2021.100057,OpenAlex,2026-03-02 22:52:04.224678+00
Radioactivity of anthropogenic origin in the Tejo Estuary and need for improved waste management and environmental monitoring,DOUBT,7,2,1,2,0,2,"Potential relevance; needs human review. (AI Note: The study measured radionuclide concentrations in the Tejo Estuary, assessing the impact of waste management and industrial/medical sources on the aquatic environment.)",10.1080/00207233.2013.845714,OpenAlex,2026-03-02 22:51:58.564421+00
"Analysis of Port-Based Discharge Water Treatment of Ships, Case Study: Terminal Petikemas Surabaya",DOUBT,7,1,1,2,1,2,Potential relevance; needs human review. (AI Note: The study focuses on port-based wastewater treatment from ships and includes quantitative analysis and a design of a treatment plant.),10.12962/j25481479.v3i4.4804,OpenAlex,2026-03-02 22:49:48.156872+00
Genotoxic effects of bilge water on mitotic activity in<i>Allium cepa</i>L.,DOUBT,7,1,2,1,1,2,"Potential relevance; needs human review. (AI Note: Study investigates the genotoxic effects of bilge water on root meristems of Allium cepa, indicating a relevant research focus.)",10.1080/00087114.2015.1032574,OpenAlex,2026-03-02 22:49:38.755712+00
Optimizing effort for profit and sustainability: a bioeconomic and environmental evaluation of the Namibian hake fishery,DOUBT,7,1,2,2,0,2,Potential relevance; needs human review. (AI Note: This paper analyzes the sustainability and economic factors of the Namibian hake fishery using a bioeconomic model with vessel data.),10.3389/fmars.2025.1688036,OpenAlex,2026-03-02 22:51:06.695888+00
Distribution and mitigation efforts for microplastic pollution in Kendari bay as the mainstay coastal tourism area of Southeast Sulawesi,DOUBT,7,2,1,2,0,2,"Potential relevance; needs human review. (AI Note: The study examines microplastic pollution in Kendari Bay, analyzing distribution, water quality, and mitigation efforts, using quantitative methods and empirical data.)",10.1088/1742-6596/1899/1/012012,OpenAlex,2026-03-02 22:51:40.978249+00
"Phenol content in the marine environments of the coastal waters in Peter the Great Bay, Japan Sea",DOUBT,7,2,1,1,1,2,"Potential relevance; needs human review. (AI Note: This paper is about phenol concentrations in a coastal bay, which is a relevant marine environment for bilge water research.)",10.26428/1606-9919-2024-204-609-628,OpenAlex,2026-03-02 22:52:05.996208+00
Analysis Of Exhaust Volume Reduction In Oily Water Separator At SS. GOLDEN ISAIA,DOUBT,7,1,2,1,2,1,Potential relevance; needs human review. (AI Note: This paper analyzes oily water separator discharge volume reduction using qualitative methods.),10.51578/j.sitektransmar.v6i2.93,OpenAlex,2026-03-02 22:50:01.76882+00
Biosecurity risk associated with bilge water from small vessels: an evaluation of systems and operator behaviours,DOUBT,7,1,2,1,1,2,Potential relevance; needs human review. (AI Note: The study focuses on the biosecurity risk associated with bilge water discharge from small vessels and the transport of non-indigenous species.),10.1071/mf20148,OpenAlex,2026-03-02 22:49:45.702707+00
"Water quality study and pollution index based on Physics-chemical parameters in the Youtefa Bay tourism area, Jayapura",DOUBT,7,2,0,1,2,2,Potential relevance; needs human review. (AI Note: The study is based on a water quality study of a bay with explicit quantification of pollutants.),10.1088/1755-1315/564/1/012030,OpenAlex,2026-03-02 22:51:36.131351+00
Measurement of the Roughness of the Sea Surface from Photographs of the Sun’s Glitter,DOUBT,7,1,1,2,1,2,"Potential relevance; needs human review. (AI Note: The study is about surface roughness and slope distribution of the sea surface, with a small component on oil slicks.)",10.1364/josa.44.000838,OpenAlex,2026-03-02 22:50:32.398386+00
Electric Propulsion System Powertrain Estimation for Houseboats using Backward Simulation,DOUBT,7,2,2,1,1,1,"Potential relevance; needs human review. (AI Note: Focuses on electric propulsion systems for houseboats in Kerala, discussing environmental impacts of current fossil fuel use and proposing electrification as a solution; not a direct pollution study.",10.1109/pesgre52268.2022.9715920,OpenAlex,2026-03-02 22:50:20.609037+00
Thailand's Initiatives on Mercury,DOUBT,7,2,0,2,2,1,"Potential relevance; needs human review. (AI Note: This paper presents Thailand's initiatives on mercury contamination in the Gulf of Thailand from oil and gas operations, including the levels found in waste and efforts to limit exposure.)",10.2523/38087-ms,OpenAlex,2026-03-02 22:52:16.434755+00
"Temporal change in plastic pollution in the critical habitat of an endangered cetacean on the continental slope, Nova Scotia, Canada",DOUBT,7,1,1,2,1,2,Potential relevance; needs human review. (AI Note: This is a marine study with explicit quantities of plastic measured in whale stomachs and ocean transects.),10.5281/zenodo.7216863,OpenAlex,2026-03-02 22:50:27.576573+00
Environmental and health impacts of electric service vessels in the recreational boating industry,DOUBT,6,1,2,1,0,2,"Potential relevance; needs human review. (AI Note: The study focuses on electric vs gasoline boats and greenhouse gas emissions, but not chemical marine pollution.)",10.2166/wpt.2020.063,OpenAlex,2026-03-02 22:47:10.550745+00
"Metal Characteristics in the Mangrove Sediments of Al Khor, Qatar",DOUBT,6,2,0,2,0,2,Potential relevance; needs human review. (AI Note: This paper examines the heavy metal concentrations in mangrove sediments in Qatar.),10.2112/jcr-si113-097.1,OpenAlex,2026-03-02 22:51:51.867159+00
"Water flow and nutrient flux from five estuarine rivers along the southwest coast of the Everglades National Park, Florida, 1997-2001",DOUBT,6,2,0,2,0,2,"Potential relevance; needs human review. (AI Note: This study quantifies nutrient flux in estuarine rivers, but does not focus on oil pollution.)",10.3133/sir20045142,OpenAlex,2026-03-02 22:52:02.203402+00
"Sub-micron aerosol particle size distribution collected in the Southern Ocean in the austral summer of 2016/2017, during the Antarctic Circumnavigation Expedition.",DOUBT,6,1,1,2,0,2,"Potential relevance; needs human review. (AI Note: Study describes aerosol particle size distribution using SMPS during the Antarctic Circumnavigation Expedition, not focused on pollutants.)",10.5281/zenodo.2636700,OpenAlex,2026-03-02 22:51:01.679681+00
"Sub-micron aerosol particle size distribution collected in the Southern Ocean in the austral summer of 2016/2017, during the Antarctic Circumnavigation Expedition.",DOUBT,6,1,1,2,0,2,Potential relevance; needs human review. (AI Note: This paper presents aerosol particle size distribution data collected during the Antarctic Circumnavigation Expedition and is not related to oil spills.),10.5281/zenodo.2636699,OpenAlex,2026-03-02 22:51:02.489292+00
"Total arsenic, arsenic species, and trace elements in crop and vegetable grown in areas irrigated with arsenic contaminated water in Bangladesh and West Bengal-India",DOUBT,6,2,0,2,0,2,"Potential relevance; needs human review. (AI Note: This study focuses on arsenic contamination in crops and vegetables irrigated with contaminated water, which is not directly related to marine research.)",10.55124/jfsn.v1i1.121,OpenAlex,2026-03-02 22:51:02.847121+00
Bilge and Ballast Water Treatment Using Nanotechnology,DOUBT,6,1,2,1,2,0,"Potential relevance; needs human review. (AI Note: This appears to be a review of bilge water treatment options, not an original research study.)",10.1201/b17455-12,OpenAlex,2026-03-02 22:49:54.101636+00
Modelling Behaviour of the Salt Wedge in the Fraser River and Its Relationship with Climate and Man-Made Changes,DOUBT,6,2,1,1,0,2,"Potential relevance; needs human review. (AI Note: This study models salinity and climate impacts within the Fraser River estuary using numerical methods, but does not focus on oil pollution.)",10.3390/jmse6040130,OpenAlex,2026-03-02 22:52:00.043973+00
CO2 emission statistics for the world commercial fleet,DOUBT,6,1,1,2,0,2,Potential relevance; needs human review. (AI Note: The study calculates CO2 emissions from the world commercial fleet using ship databases and emission factors.),10.1007/bf03195150,OpenAlex,2026-03-02 22:50:32.691283+00
Breaking Oil/Water Emulsions to Lower Chemical Oxygen Demand in Washrack Wastewater - A Treatability Study,DOUBT,6,0,0,2,2,2,"Potential relevance; needs human review. (AI Note: The study focuses on oil/water emulsions and wastewater treatment at an oilfield service facility, which is primarily land-based and not marine.)",10.2118/126247-ms,OpenAlex,2026-03-02 22:49:50.353035+00
A Study on the Air Cavity under a Stepped Planing Hull,DOUBT,6,0,2,2,0,2,"Potential relevance; needs human review. (AI Note: This study models hull design, and does not relate to marine pollution.)",10.3390/jmse7120468,OpenAlex,2026-03-02 22:52:19.236157+00
The 2018 Annual Economic Report on the EU Fishing Fleet (STECF 18-07),DOUBT,6,1,2,2,0,1,"Potential relevance; needs human review. (AI Note: This paper is a report about the EU fishing fleet and its economic information, which is not related to marine pollution.)",10.2760/56158,OpenAlex,2026-03-02 22:50:56.652838+00
Microfiber release from real soiled consumer laundry and the impact of fabric care products and washing conditions,DOUBT,6,1,0,2,1,2,"Potential relevance; needs human review. (AI Note: This is a lab study on microfiber release from laundry, not directly related to vessel discharge or oil spills but does concern marine pollution.)",10.1371/journal.pone.0233332,OpenAlex,2026-03-02 22:51:33.141818+00
Initial Determination of Electrocoagulation as an Oily Wastewater Treatment Technique at Shore Facilities,DOUBT,6,0,0,2,2,2,"Potential relevance; needs human review. (AI Note: Study focuses on treatment of oily wastewater at shore facilities, not the marine environment itself.)",10.23919/oceans52994.2023.10337111,OpenAlex,2026-03-02 22:49:52.374322+00
Numerical Modeling and Field Study for the Jacksonville Harbor Deepening Project: A Comprehensive Approach,DOUBT,6,2,1,1,0,2,"Potential relevance; needs human review. (AI Note: Study focuses on harbor engineering, hydrodynamic and environmental impact assessment of channel deepening, but does not explicitly focus on oil pollution.)",10.1061/41098(368)78,OpenAlex,2026-03-02 22:52:16.118515+00
COVID-19 lockdown reveals fish density may be much higher in marine reserves,DOUBT,6,1,1,2,0,2,"Potential relevance; needs human review. (AI Note: This study does not focus on oil spills, TPH, or surfactants, but instead on the impact of ecotourism and noise pollution on fish populations.)",10.1101/2022.05.17.492376,OpenAlex,2026-03-02 22:50:15.785213+00
EFFECT OF LOCAL CONDITIONS ON EFFLUENT DISPOSAL IN COASTAL WATERS,DOUBT,6,2,1,1,1,1,"Potential relevance; needs human review. (AI Note: This is a description of past studies at a university, not an empirical study with specific data.)",10.9753/icce.v10.76,OpenAlex,2026-03-02 22:52:08.253892+00
Using Monitoring and Mechanistic Modeling to Improve Understanding of Eutrophication in a Shallow New England Estuary,DOUBT,6,2,0,2,0,2,Potential relevance; needs human review. (AI Note: The study involves estuarine water quality monitoring and modeling with specific quantitative data on eutrophication parameters.),10.5281/zenodo.7778832,OpenAlex,2026-03-02 22:50:49.336991+00
Using Monitoring and Mechanistic Modeling to Improve Understanding of Eutrophication in a Shallow New England Estuary,DOUBT,6,2,0,2,0,2,"Potential relevance; needs human review. (AI Note: The study focuses on eutrophication in a New England estuary using monitoring and mechanistic modeling, with specific water quality parameters measured and simulated.)",10.5281/zenodo.7778831,OpenAlex,2026-03-02 22:50:49.590057+00
Substantiation of a lower estimate for the bunker inventory: Comment on “Updated emissions from ocean shipping” by James J. Corbett and Horst W. Koehler,DOUBT,6,1,1,2,0,2,Potential relevance; needs human review. (AI Note: This paper discusses methods to quantify ship emissions and fuel consumption by analyzing ship traffic and port activity.),10.1029/2004jd004853,OpenAlex,2026-03-02 22:50:33.757574+00
Sediment characteristics ofdifferent coastal ecosystems along the Central eastern Red Sea coast and western Arabian Gulf,DOUBT,6,2,0,2,0,2,Potential relevance; needs human review. (AI Note: The study analyzes sediment characteristics and burial rates in coastal ecosystems using geochemical and isotopic methods.),10.1594/pangaea.887043,OpenAlex,2026-03-02 22:51:52.355097+00
Pemetaan Spasial Hasil Tangkapan Tuna Untuk Mendorong Program Pemerintah Tepat Sasaran (Studi Kasus: Maluku Utara),DOUBT,6,1,1,2,0,2,"Potential relevance; needs human review. (AI Note: This paper discusses spatial mapping of tuna catch productions and fishing vessel characteristics in North Maluku, providing quantitative data and original research, but does not focus on pollution.)",10.15578/jksekp.v14i2.13523,OpenAlex,2026-03-02 22:51:05.334243+00
TRANSPORT PATTERNS IN THE CHAP PHYA ESTUARY,DOUBT,6,2,1,1,0,2,"Potential relevance; needs human review. (AI Note: This paper presents a field study and hydraulic model test on transport patterns, but does not focus on marine pollution.)",10.9753/icce.v10.36,OpenAlex,2026-03-02 22:52:00.661067+00
Tracing fluorescent dissolved organic matter (fDOM) characteristics and water quality parameters: Insights from an urban industrial river to marine zone,DOUBT,6,2,0,1,1,2,Potential relevance; needs human review. (AI Note: The study analyzes water quality and fluorescent dissolved organic matter from an urban river to a marine zone using 3DEEM and PARAFAC analysis.),10.1002/wer.11125,OpenAlex,2026-03-02 22:51:39.923477+00
The effects of organic pollution on benthic organisms near Marseille,DOUBT,6,2,0,1,1,2,Potential relevance; needs human review. (AI Note: This is a study of organic pollution impacts on benthic organisms in a coastal environment near Marseille.),10.1080/00207237608737302,OpenAlex,2026-03-02 22:51:36.394191+00
"Field investigation of suspended sediment transport study in the Kandla creek, Gujarat, India",DOUBT,6,2,1,1,0,2,"Potential relevance; needs human review. (AI Note: Sediment transport in an estuary is the focus, but there is no specific mention of oil or related compounds.)",10.1080/09715010.2023.2199701,OpenAlex,2026-03-02 22:52:10.818281+00
"Seasonal hydro-sedimentary dynamics of a small tropical estuary under Amazone influence (the Cayenne river estuary, French Guiana)",DOUBT,6,2,1,1,0,2,"Potential relevance; needs human review. (AI Note: The study focuses on hydro-sedimentary dynamics of an estuary, not on oil pollution.)",10.5194/egusphere-egu23-14705,OpenAlex,2026-03-02 22:52:11.645045+00
"Investigation of Small Whale Hunting in Northern Norway, 1964",DOUBT,6,1,2,1,0,2,"Potential relevance; needs human review. (AI Note: This study focuses on whale hunting techniques and economics, not marine pollution or water quality.)",10.1139/f75-137,OpenAlex,2026-03-02 22:50:35.563953+00
Efficiency of a Single-Stage Cuttings Washer With a Mineral Oil Invert Emulsion and Its Environmental Significance,DOUBT,5,0,0,1,2,2,"Potential relevance; needs human review. (AI Note: This study focuses on the efficiency of a cuttings washer using mineral oil emulsion, primarily relevant to offshore oil and gas drilling rather than direct marine environmental impact.)",10.2523/12121-ms,OpenAlex,2026-03-02 22:51:48.187542+00
"Innovative Salt-Freshwater Separation System at the Krammer Locks, The Netherlands. Hydraulic Modelling to Balance Functional Requirements",DOUBT,5,2,1,1,0,1,"Potential relevance; needs human review. (AI Note: This paper focuses on modeling a salt-fresh water separation system in a lock using hydraulic simulations, not on marine pollution or oil spills.)",10.1007/978-981-19-6138-0_42,OpenAlex,2026-03-02 22:52:12.748408+00
Numerical simulation of water mixing and renewals in the Barcelona harbour area: the winter season,DOUBT,5,2,1,1,0,1,"Potential relevance; needs human review. (AI Note: Title describes water mixing in a harbor area, implying a numerical simulation study, but the abstract is missing, preventing a full assessment.)",10.1007/s10652-014-9351-6,OpenAlex,2026-03-02 22:50:44.374337+00
Non-Evaporating Kerosene Fuel Spray Tip Penetration: A Comparison between Phenomenological Models and Experiments,DOUBT,5,0,0,2,1,2,"Potential relevance; needs human review. (AI Note: This study examines kerosene fuel spray in diesel engines using experimental methods, which is unrelated to marine research.)",10.4271/2023-01-1635,OpenAlex,2026-03-02 22:51:00.137071+00
A Valuation Analysis of the Physical Oceanographic Real Time System (PORTS),DOUBT,5,1,1,2,1,0,"Potential relevance; needs human review. (AI Note: This is a policy/economic study about ports, and not about marine pollution.)",10.15351/2373-8456.1058,OpenAlex,2026-03-02 22:50:17.518371+00
"Hydrodynamic changes impacted by the waterway capital dredging in Cikarang Bekasi Laut channel, West Java, Indonesia",DOUBT,5,2,1,1,0,1,"Potential relevance; needs human review. (AI Note: Study models hydrodynamics of a channel after dredging to allow larger vessel navigation, but it is not directly related to marine pollution.)",10.2166/wpt.2020.032,OpenAlex,2026-03-02 22:52:01.928078+00
Effect of heavy metal toxicity on Zooplankton population based on dyes and printing industries in Jodhpur (Rajasthan),DOUBT,5,0,0,2,1,2,"Potential relevance; needs human review. (AI Note: This study is on heavy metal toxicity on zooplankton in freshwater environments impacted by industrial effluents, and not directly relevant to marine research.)",10.5281/zenodo.7359496,OpenAlex,2026-03-02 22:51:42.536446+00
Application of nonylphenol and coprostanol to identification of industrial and fecal pollution in Korea,DOUBT,5,2,0,1,2,0,Potential relevance; needs human review. (AI Note: The abstract is missing.),10.1016/j.marpolbul.2006.09.022,OpenAlex,2026-03-02 22:51:37.505248+00
Modernizing Marinas in the Mediterranean Sea using SMartY: Methodologies and Lessons learned,DOUBT,5,2,2,1,0,0,"Potential relevance; needs human review. (AI Note: This paper focuses on marina management and infrastructure, rather than marine pollution.)",10.1109/percomworkshops53856.2022.9767370,OpenAlex,2026-03-02 22:50:44.620091+00
DEVELOPMENT AND EVALUATION OF MICROEMULSION FORMULATIONS OF LORNOXICAM,DOUBT,5,0,0,2,1,2,"Potential relevance; needs human review. (AI Note: This study focuses on microemulsion formulations of Lornoxicam for drug delivery, unrelated to marine research or pollution.)",10.22270/ujpr.v7i6.867,OpenAlex,2026-03-02 22:51:21.941385+00
Identification of Optimal Trim Configurations to improve Energy Efficiency in Ships,DOUBT,5,1,2,1,0,1,"Potential relevance; needs human review. (AI Note: The study focuses on ship energy efficiency and fuel consumption in relation to trim configurations, rather than a pollutant.)",10.1016/j.ifacol.2015.10.291,OpenAlex,2026-03-02 22:50:57.538577+00
“The effect of the detergent on microfibre release during the washing process of polyester textiles”,DOUBT,5,0,0,2,1,2,"Potential relevance; needs human review. (AI Note: This study analyzes microfibre release from textiles during washing, which is related to household practices and not directly focused on marine research.)",10.1109/metrosea52177.2021.9611615,OpenAlex,2026-03-02 22:51:35.873025+00
"Impact of ‘Organic' Pollutants on Coastal Waters, Gulf of Trieste",DOUBT,5,2,0,1,1,1,Potential relevance; needs human review. (AI Note: This is a review paper with general pollution impact on the gulf.),10.2166/wst.1986.0078,OpenAlex,2026-03-02 22:51:31.684915+00
A Valuation Analysis of the Physical Oceanographic Real Time System (PORTS),DOUBT,5,1,1,2,1,0,Potential relevance; needs human review. (AI Note: This study is focused on the economic valuation of a monitoring system rather than a study of marine pollution.),10.15351/2373-8456.1012,OpenAlex,2026-03-02 22:50:17.228498+00
